date,clicks,impressions,position
2026-06-07,0,33,10.4
2026-06-08,1,42,20.6
2026-06-09,0,56,17.7
2026-06-10,1,89,9.9
2026-06-11,2,126,10.2
2026-06-12,2,116,9.6
2026-06-13,0,166,9.9
2026-06-14,2,143,10.7
2026-06-15,0,162,9.3
2026-06-16,2,234,9.0
2026-06-17,2,145,9.5
2026-06-18,0,140,11.7
2026-06-19,0,129,8.8
2026-06-20,3,265,11.3
2026-06-21,2,239,9.6
2026-06-22,2,486,17.4
2026-06-23,5,315,10.3
2026-06-24,0,347,11.0
2026-06-25,0,487,9.1
2026-06-26,1,596,10.9
2026-06-27,6,631,9.3
2026-06-28,3,690,8.8
2026-06-29,4,670,9.3
2026-06-30,4,786,10.0
2026-07-01,6,821,9.1
2026-07-02,7,1009,9.2
2026-07-03,9,1331,8.5
2026-07-04,11,1386,8.3
2026-07-05,6,1543,8.1
2026-07-06,10,1364,8.5
2026-07-07,14,1350,8.4
2026-07-08,5,1488,8.4
2026-07-09,3,1389,8.8
2026-07-10,11,1369,9.9
2026-07-11,10,1431,9.7
2026-07-12,12,2167,9.0
2026-07-13,13,1409,9.2
2026-07-14,9,1345,9.4
2026-07-15,9,1087,8.9
2026-07-16,10,1072,7.9
2026-07-17,13,1216,8.3
2026-07-18,15,1190,9.1
2026-07-19,9,488,11.3
2026-07-20,0,138,15.2
2026-07-21,0,153,18.1
2026-07-22,0,158,15.0
2026-07-23,0,199,15.7
2026-07-24,0,196,19.0
2026-07-25,0,192,16.5
2026-07-26,0,170,15.6
2026-07-27,1,158,19.0
2026-07-28,1,136,25.2
2026-07-29,1,179,24.2
2026-07-30,2,144,29.0
2026-07-31,1,105,23.9
2026-08-01,0,132,25.2
2026-08-02,1,152,25.2
2026-08-03,0,125,24.8
2026-08-04,1,98,25.4
2026-08-05,2,99,26.7
2026-08-06,1,100,27.4
2026-08-07,0,69,23.3
2026-08-08,1,48,16.2
2026-08-09,1,146,26.1
2026-08-10,0,140,22.0
2026-08-11,1,151,25.7
2026-08-12,0,53,31.1
2026-08-13,0,55,27.3
2026-08-14,0,42,28.5
2026-08-15,1,48,23.3
2026-08-16,0,54,26.8
2026-08-17,0,68,30.6
2026-08-18,4,45,22.3
2026-08-19,1,54,30.4
2026-08-20,1,54,35.1
2026-08-21,0,36,37.7
2026-08-22,0,39,33.6
2026-08-23,0,37,35.2
2026-08-24,0,37,40.8
2026-08-25,1,40,42.7
2026-08-26,0,27,37.5
2026-08-27,1,37,37.5
2026-08-28,0,61,36.4
2026-08-29,1,45,49.7
2026-08-30,1,54,40.8
2026-08-31,1,47,37.2
2026-09-01,1,26,12.8
2026-09-02,0,33,17.1
2026-09-03,0,27,20.4
2026-09-04,0,38,19.3
2026-09-05,0,29,10.1
2026-09-06,0,31,9.9
